Time,ID,XPosition,YPosition,ZPosition,Diameter
0.983,0.0,0.637105,2.23885,0.0133948,2.62074e-07
0.983,50.0,0.575319,2.0903,0.00749335,9.92816e-05
0.983,75.0,0.794704,2.20078,0.0370559,2.62074e-07
0.983,91.0,0.587294,2.05715,0.0979509,5.85923e-06
0.983,93.0,0.496689,2.16575,0.0415107,5.24699e-05
0.978,196.0,0.440945,2.12018,0.00130655,5.85923e-06
0.978,212.0,0.519796,2.0023,0.0638849,2.39935e-05
0.9755,255.0,0.767084,2.16943,0.0363951,2.62074e-07
0.9755,271.0,0.747347,2.15955,0.0948801,5.85923e-06
0.9755,272.0,0.746878,2.15049,0.0173974,2.45075e-05
0.9755,286.0,0.486294,2.09347,0.0293409,5.85923e-06
0.9755,287.0,0.446357,2.16606,0.0183422,2.42505e-05
0.973,300.0,0.719091,2.18136,0.00764383,2.62074e-07
0.973,316.0,0.523446,2.01355,0.0420301,5.85923e-06
0.973,320.0,0.542463,2.13618,0.00703547,9.91484e-05
0.973,331.0,0.517783,2.23512,0.0542041,5.85923e-06
0.973,333.0,0.507292,2.17602,0.0400574,5.25069e-05
0.9705,360.0,0.614137,2.19824,0.046333,2.62074e-07
0.9705,362.0,0.627612,2.21334,0.0594227,2.39739e-05
0.9705,378.0,0.687187,2.09472,0.0161917,5.30546e-05
0.9705,405.0,0.550219,2.14156,0.0886239,2.62074e-07
0.968,450.0,0.669617,2.11439,0.0184277,2.62074e-07
0.968,466.0,0.648823,2.11198,0.0471435,5.85923e-06
0.9655,510.0,0.536577,2.03197,0.0938779,2.62074e-07
0.963,555.0,0.637354,2.10068,0.0326325,2.62074e-07
0.963,559.0,0.55968,2.09918,0.00653978,7.68785e-05
0.963,571.0,0.660126,2.12257,0.0803539,5.85923e-06
0.963,586.0,0.465997,2.1799,0.00340758,5.85923e-06
0.958,660.0,0.630358,2.21246,0.079016,2.62074e-07
0.958,693.0,0.463206,2.15688,0.0268716,5.27969e-05
0.958,707.0,0.563507,2.09925,0.0571022,2.50848e-05
0.948,931.0,0.5591,2.23659,0.0627446,5.85923e-06
0.943,1035.0,0.778719,2.11301,0.0199747,2.62074e-07
0.9405,1081.0,0.674853,2.21568,0.0914013,5.85923e-06
0.9405,1095.0,0.767139,2.16485,0.00207906,2.62074e-07
0.9405,1098.0,0.528474,2.07413,0.0205008,5.34286e-05
0.9405,1111.0,0.644044,2.20285,0.0152821,5.85923e-06
0.933,1290.0,0.786438,2.19124,0.0259127,2.62074e-07
0.928,1396.0,0.705499,2.16038,0.0608515,5.85923e-06
0.9255,1455.0,0.736074,2.21026,0.00969824,2.62074e-07
0.9255,1456.0,0.605989,2.27827,0.0319697,5.85923e-06
0.913,1770.0,0.782849,2.14383,0.02636,2.62074e-07
0.908,1860.0,0.480071,2.04791,0.01997,2.62074e-07
0.9055,1922.0,0.558159,2.25607,0.0196531,2.64417e-05
0.903,1982.0,0.481461,2.18581,0.0388668,2.6813e-05
0.9005,2070.0,0.6759,2.27154,0.0198623,2.62074e-07
0.9005,2087.0,0.495735,2.12535,0.0516678,2.65304e-05
0.898,2116.0,0.553077,2.2618,0.00654659,5.85923e-06
0.898,2146.0,0.54542,2.25788,0.0373806,5.85923e-06
0.893,2221.0,0.625586,2.26619,0.0171399,5.85923e-06
0.893,2250.0,0.552929,2.26967,0.00337153,2.62074e-07
0.8905,2312.0,0.539638,2.24796,0.0233841,2.67659e-05
